State,District,Murder,Attempt_to_commit_Murder,Rape,Kidnapping_Abduction,Robbery,Burglary,Theft,Riots,Cheating,Hurt,Dowry_Deaths,Assault_on_Women,Sexual_Harassment,Stalking,Death_by_Negligence,Extortion,Incidence_of_Rash_Driving,Total
Maharashtra,Gadchiroli,54,55,22,8,8,85,102,6,36,24,0,32,10,0,109,2,90,643
Maharashtra,Gondia,33,21,58,26,20,130,313,13,41,59,6,113,113,0,135,2,209,1292
Maharashtra,Hingoli,27,28,24,29,19,51,128,66,44,54,4,80,51,8,91,0,186,890
Maharashtra,Jalgaon,80,77,66,84,129,248,999,318,191,172,1,347,213,0,393,17,597,3932
Maharashtra,Jalna,64,76,33,39,75,206,582,120,116,191,13,185,155,0,189,12,16,2072
Maharashtra,Kolhapur,64,68,84,70,236,363,883,255,317,111,8,176,42,33,317,13,776,3816
Maharashtra,Latur,74,61,57,84,79,231,549,0,125,42,4,174,0,0,256,12,393,2141
Maharashtra,Mumbai Commr.,183,181,607,541,2094,3055,10101,400,2594,2006,22,1626,650,129,584,247,4129,29149
Maharashtra,Mumbai Railway,17,2,1,17,573,4,2247,6,46,14,0,55,20,7,2,7,0,3018
Maharashtra,Nagpur Commr.,103,92,113,145,505,1074,2962,147,394,313,10,279,197,53,316,41,1096,7840
Maharashtra,Nagpur Railway,2,1,3,2,80,0,1531,7,8,12,0,20,0,0,3,0,0,1669
Maharashtra,Nagpur Rural,69,46,65,35,65,249,1024,60,60,146,4,187,52,9,437,4,730,3242
Maharashtra,Nanded,73,73,43,95,62,243,511,179,11,171,6,147,147,0,268,14,574,2617
Maharashtra,Nandurbar,36,19,25,21,13,84,157,73,34,34,2,36,8,4,129,2,233,910
Maharashtra,Nasik Commr.,26,30,28,59,124,299,1053,63,130,65,3,101,47,7,172,15,489,2711
Maharashtra,Nasik Rural,98,65,87,108,103,319,888,334,186,406,17,224,171,11,688,7,1599,5311
Maharashtra,Navi Mumbai,51,23,88,140,411,549,1447,82,576,109,6,158,30,24,361,38,527,4620
Maharashtra,Osmanabad,39,58,43,28,40,206,427,136,75,65,5,126,46,10,243,6,408,1961
Maharashtra,Palghar,85,36,98,114,211,631,1071,192,259,213,1,183,28,9,396,5,369,3901
Maharashtra,Parbhani,44,82,38,64,48,204,488,145,145,141,5,140,68,8,120,9,328,2077
Maharashtra,Pune Commr.,138,181,189,228,873,1362,4867,238,770,470,20,454,110,38,456,62,1299,11755
Maharashtra,Pune Railway,8,1,2,3,56,1,543,3,2,5,1,5,1,0,0,1,0,632
Maharashtra,Pune Rural,153,125,147,157,251,807,2592,577,282,270,13,356,59,38,988,13,1244,8072
Maharashtra,Raigad,31,17,47,41,72,224,429,126,142,74,2,99,42,10,281,6,386,2029
Maharashtra,Ratnagiri,11,15,34,19,38,143,256,61,71,24,0,59,19,16,153,4,342,1265
Maharashtra,Sangli,50,47,66,68,63,227,608,205,197,136,6,157,39,8,309,29,430,2645
Maharashtra,Satara,67,39,97,88,234,408,1254,335,155,142,4,241,89,34,470,9,605,4271
Maharashtra,Sindhudurg,7,10,12,10,16,84,132,24,10,20,0,42,29,11,80,0,102,589
Maharashtra,Solapur Commr.,21,26,39,39,123,231,586,109,99,32,3,52,20,5,91,8,234,1718
Maharashtra,Solapur Rural,87,75,97,93,68,253,1062,418,73,237,2,227,72,22,500,10,891,4187
Maharashtra,Thane Commr.,117,122,215,435,1315,1648,3167,322,953,571,13,559,309,52,306,56,774,10934
Maharashtra,Thane Rural,51,23,75,71,230,349,641,157,301,107,3,165,29,15,216,13,173,2619
Maharashtra,Wardha,35,64,62,37,50,166,800,41,95,109,1,192,32,6,166,1,51,1908
Maharashtra,Washim,31,62,33,32,51,115,466,81,55,71,5,178,178,0,132,4,182,1676
Maharashtra,Yavatmal,75,98,108,157,146,448,1850,183,151,237,12,466,58,13,243,31,668,4944
Maharashtra,Total,2670,2613,3438,3793,9466,17171,56283,7078,9959,8127,279,10001,4052,797,12619,780,26060,175186
Manipur,Bishnupur,12,23,9,11,0,8,50,6,3,20,0,6,0,0,25,5,78,256
Manipur,Chandel,4,7,0,2,0,0,12,3,0,3,0,1,0,0,0,0,18,50
Manipur,Churachandpur,13,11,5,6,0,7,29,1,5,5,0,3,2,0,0,1,10,98
Manipur,C. I. D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Imphal East,13,42,20,27,0,15,251,13,18,44,1,7,0,0,15,26,87,579
Manipur,Imphal West,20,61,20,52,4,28,475,42,39,103,0,44,3,2,27,30,243,1193
Manipur,Senapati,5,6,1,11,3,2,11,3,2,2,0,2,0,0,0,3,29,80
Manipur,Tamenglong,4,19,0,9,0,0,12,1,2,6,0,0,0,0,0,1,29,83
Manipur,Thoubal,15,47,19,61,0,13,157,29,29,88,0,35,0,0,44,11,137,685
Manipur,Ukhrul,10,11,1,3,0,2,4,1,1,3,0,0,0,0,1,1,4,42
Manipur,Total,96,227,75,182,7,75,1001,99,99,274,1,98,5,2,112,78,635,3066
Meghalaya,Garo Hills East,7,1,3,7,6,1,57,0,5,5,0,3,0,0,0,24,5,124
Meghalaya,Garo Hills North,14,8,3,26,2,4,24,0,0,12,0,8,0,0,8,20,0,129
Meghalaya,Garo Hills South,19,24,3,28,2,2,21,3,6,1,0,3,0,0,4,25,0,141
Meghalaya,Garo Hills South West,5,4,4,4,2,0,7,0,1,2,0,8,0,0,6,9,0,52
Meghalaya,Garo Hills West,28,26,11,59,13,47,72,1,9,12,0,11,0,0,24,14,17,344
Meghalaya,Jaintia Hills West,18,11,10,9,3,23,55,0,11,15,0,5,0,0,5,3,8,176
Meghalaya,Jaintia Hills East,19,11,11,7,4,2,68,0,8,12,0,7,0,0,28,3,0,180
Meghalaya,Khasi Hills East,24,20,14,23,53,35,399,0,111,60,0,45,0,4,40,22,25,875
Meghalaya,Khasi Hills South West,4,1,12,0,1,0,15,0,1,3,1,0,0,0,1,0,1,40
Meghalaya,Khasi Hills West,11,7,19,9,3,18,50,0,8,12,0,4,0,0,3,7,0,151
Meghalaya,Ri-Bhoi,10,2,28,7,8,14,89,3,12,19,0,11,0,0,29,8,36,276
Meghalaya,Total,159,115,118,179,97,146,857,7,172,153,1,105,0,4,148,135,92,2488
Mizoram,Aizawl,11,13,39,2,5,251,455,0,45,57,0,58,23,6,18,13,0,996
Mizoram,Champhai,9,3,22,1,0,50,86,0,4,10,0,0,0,0,4,0,0,189
Mizoram,Kolasib,1,1,10,2,0,42,136,0,2,6,0,10,10,0,0,5,9,234
Mizoram,Lawngtlai,6,1,9,0,0,15,26,0,1,10,0,5,0,0,4,0,5,82
Mizoram,Lunglei,8,4,14,0,0,39,52,0,3,7,0,13,13,0,8,1,5,167
Mizoram,Mamit,1,0,10,2,0,40,33,0,2,3,0,6,6,0,5,0,0,108
Mizoram,Saiha,4,0,4,0,0,16,27,0,2,3,0,2,0,0,2,1,0,61
Mizoram,Serchhip,2,0,12,0,1,17,37,0,2,4,0,3,1,0,4,1,1,85
Mizoram,Spl Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
Mizoram,Total,42,22,120,7,6,470,852,0,61,100,0,97,53,6,65,21,20,1942
Nagaland,Dimapur,22,17,12,25,26,21,215,2,24,8,0,10,1,1,6,73,0,463
Nagaland,Kiphire,1,2,1,0,0,0,2,0,3,1,0,0,0,0,0,0,1,11
Nagaland,Kohima,3,6,9,5,6,12,75,0,11,0,0,0,0,0,7,28,0,162
Nagaland,Longleng,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,3,2,10
Nagaland,Mokokchung,5,3,1,2,2,2,10,0,8,4,0,2,0,0,5,5,2,51
Nagaland,Mon,6,2,1,0,0,1,10,0,1,0,0,0,0,0,2,1,0,24
Nagaland,Peren,1,0,0,0,0,0,7,0,0,0,0,1,1,0,0,4,2,16
Nagaland,Phek,9,5,1,0,3,3,25,0,4,3,0,3,3,0,0,12,2,73
Nagaland,Tuensang,0,0,1,2,0,0,20,0,1,0,0,0,0,0,0,2,2,28
Nagaland,Wokha,10,9,0,2,0,0,29,0,0,0,0,0,0,0,0,1,0,51
Nagaland,Zunheboto,1,10,3,1,1,15,23,0,4,7,0,0,0,0,0,0,0,65
Nagaland,Total,58,56,30,37,38,54,418,2,56,23,0,16,5,1,20,129,11,954
Odisha,Angul,58,89,44,85,107,167,548,65,67,14,4,146,50,4,174,10,0,1632
Odisha,Balasore,65,126,110,231,90,240,357,58,140,153,2,566,59,2,185,21,236,2641
Odisha,Baragarh,27,120,56,61,68,113,199,89,33,248,7,114,50,2,98,10,153,1448
Odisha,Berhampur,31,76,30,59,76,114,237,29,78,42,0,162,6,10,96,29,127,1202
Odisha,Bhadrak,39,86,63,116,25,99,222,45,85,38,24,178,26,3,85,8,0,1142
Odisha,Bolangir,26,70,56,130,59,129,199,64,43,212,19,211,24,4,112,9,140,1507
Odisha,Boudh,22,37,24,34,23,29,35,9,14,116,2,68,33,3,36,2,72,559
Odisha,Cuttack,40,55,58,94,63,118,170,37,49,125,27,29,9,0,191,2,210,1277
Odisha,DCP BBSR,42,102,72,151,123,286,1432,71,394,805,27,53,12,8,167,18,0,3763
Odisha,DCP CTC,36,18,66,144,38,163,623,28,157,6,21,82,12,2,94,26,212,1728
Odisha,Deogarh,12,36,32,18,17,36,72,13,10,52,1,46,39,2,28,12,0,426
Odisha,Dhenkanal,52,174,43,68,76,83,237,0,50,39,11,388,45,3,141,15,186,1611
Odisha,Gajapati,17,22,19,22,0,21,36,26,16,23,3,84,12,1,29,4,49,384
Odisha,Ganjam,75,263,85,129,64,137,153,43,51,243,13,410,43,12,68,21,0,1810
Odisha,Jagatsinghpur,43,62,37,83,60,165,329,54,76,209,26,208,20,4,221,23,0,1620
Odisha,Jajpur,76,19,73,123,70,185,397,83,58,1048,49,238,25,1,417,3,0,2865
Odisha,Jharsuguda,33,20,42,48,64,132,217,20,26,34,9,108,8,2,79,5,143,990
Odisha,Kalahandi,38,55,101,190,41,85,103,0,63,349,12,215,11,7,180,9,149,1608
Odisha,Kandhamal,28,14,54,48,14,46,79,10,58,31,4,121,16,6,51,0,95,675
Odisha,Kendrapara,34,40,48,88,36,97,107,37,56,156,32,154,60,3,66,0,0,1014
Odisha,Keonjhar,75,103,103,107,46,112,218,39,60,256,11,293,27,0,228,19,504,2201
Odisha,Khurda,40,45,39,103,63,86,197,33,65,15,22,103,12,5,133,9,163,1133
Odisha,Koraput,71,48,94,73,37,105,99,49,30,15,4,152,4,5,122,10,155,1073
Odisha,Malkangiri,33,30,19,21,9,15,33,17,37,16,4,29,3,0,31,0,23,320
Odisha,Mayurbhanj,110,130,139,135,40,148,252,37,77,43,32,324,41,7,159,13,246,1933
Odisha,Nayagarh,33,106,23,47,51,65,129,48,43,9,7,37,7,3,64,9,123,804
Odisha,Nabarangpur,23,35,73,100,12,49,56,94,33,5,1,194,27,8,51,4,154,919
Odisha,Nuapada,14,42,26,57,20,56,74,31,20,39,5,136,8,3,120,0,0,651
Odisha,Puri,54,99,68,146,102,241,449,98,117,447,32,151,32,8,329,20,0,2393
Odisha,Rayagada,29,39,59,86,17,84,105,32,37,12,0,102,5,2,63,18,160,850
Odisha,Rourkela,55,50,73,98,106,226,488,32,84,17,4,174,23,2,163,17,265,1877
Odisha,Sambalpur,48,79,81,98,123,297,567,74,48,687,10,108,30,8,189,21,341,2809
Odisha,Sonepur,16,15,18,27,15,31,75,21,19,3,4,46,4,0,41,1,71,407
Odisha,SRP (Cuttack),0,2,0,2,19,2,438,3,3,1,0,9,2,1,5,1,4,492
Odisha,SRP (Rourkela),4,2,1,5,21,30,320,0,3,0,0,10,1,0,3,0,1,401
Odisha,Sundargarh,51,36,49,46,33,90,158,19,46,23,12,94,16,3,181,25,184,1066
Odisha,Total,1450,2345,1978,3073,1828,4082,9410,1408,2246,5531,441,5543,802,134,4400,394,4166,49231
Punjab,Amritsar Rural,47,60,31,98,12,119,124,0,88,191,6,78,11,1,124,0,46,1036
Punjab,Barnala,15,24,31,41,1,48,96,0,51,40,0,17,4,0,74,1,59,502
Punjab,Batala,22,30,30,46,3,55,86,0,104,161,3,36,36,0,69,0,20,701
Punjab,Bathinda,55,45,56,67,2,172,260,0,151,93,5,77,15,16,143,4,121,1282
Punjab,CP Amritsar,29,75,34,78,13,127,324,0,307,143,3,45,45,0,62,3,76,1364
Punjab,CP Jalandhar,16,32,49,111,10,194,498,0,220,48,1,77,23,2,75,6,55,1417
Punjab,CP Ludhiana,73,68,111,246,23,259,603,0,349,208,5,98,10,2,240,3,0,2298
Punjab,Faridkot,23,34,24,23,10,63,70,0,42,78,1,16,8,0,66,0,37,495
Punjab,Fatehgarh Sahib,16,10,26,28,3,47,89,0,120,16,4,22,0,0,122,0,93,596
Punjab,Fazilka,24,14,52,32,0,61,80,0,88,140,4,18,0,0,78,0,34,625
Punjab,Ferozepur,27,38,55,23,0,91,163,0,128,216,3,31,8,1,91,0,57,932
Punjab,G. R. P.,11,0,1,4,0,3,94,0,3,8,0,3,3,0,6,0,0,136
Punjab,Gurdaspur,13,11,26,31,2,41,80,0,58,99,2,37,4,2,94,0,36,536
Punjab,Hoshiarpur,32,34,43,63,8,149,207,0,167,212,7,41,0,0,229,0,81,1273
Punjab,Jalandhar Rural,27,27,31,42,17,135,147,0,78,44,2,37,9,1,145,3,43,788
Punjab,Kapurthala,21,29,29,40,10,98,132,0,103,190,3,33,5,2,109,1,42,847
Punjab,Khanna,20,16,23,54,8,107,261,0,83,125,3,34,30,1,96,0,88,949
Punjab,Ludhiana Rural,16,20,14,56,4,102,162,0,107,45,3,22,0,0,61,0,56,668
Punjab,Mansa,32,17,22,15,0,51,52,0,109,61,5,22,7,1,55,2,41,492
Punjab,Moga,25,38,29,36,4,106,147,0,88,85,0,39,10,4,109,2,49,771
Punjab,Muktsar,29,20,29,30,0,77,93,0,56,42,1,24,5,2,44,2,45,499
Punjab,Pathankot,9,6,11,11,1,45,75,0,107,19,4,11,2,0,74,0,27,402
Punjab,Patiala,45,59,38,91,4,169,294,0,346,56,4,66,19,5,298,2,279,1775
Punjab,Ropar,22,11,21,39,4,76,114,0,119,82,2,52,0,0,173,0,124,839
Punjab,Sangrur,42,46,57,58,3,128,196,0,148,231,7,54,17,0,173,0,136,1296
Punjab,SAS Nagar,26,35,59,124,6,167,433,0,287,146,5,57,57,0,209,0,0,1611
Punjab,SBS Nagar,15,12,20,18,7,85,80,0,83,44,2,18,4,6,81,0,44,519
Punjab,Tarn Taran,35,53,29,45,2,81,107,0,122,194,5,48,12,2,106,0,3,844
Punjab,Total,767,864,981,1550,157,2856,5067,0,3712,3017,90,1113,344,48,3206,29,1692,25493
Rajasthan,Ajmer,45,59,130,226,46,293,1155,0,1484,17,10,181,51,3,529,6,873,5108
Rajasthan,Alwar,104,64,299,373,70,238,3189,0,1449,26,33,256,0,0,593,0,808,7502
Rajasthan,Banswara,25,13,146,152,27,79,186,39,106,57,6,103,0,0,167,0,263,1369
Rajasthan,Baran,34,63,67,162,22,101,449,0,345,168,5,212,0,0,131,21,330,2110
Rajasthan,Barmer,38,34,93,57,19,200,352,3,160,13,26,272,55,1,248,77,245,1893
Rajasthan,Bharatpur,99,66,219,290,29,79,1549,0,120,2,36,145,4,2,306,12,327,3285
Rajasthan,Bhilwara,35,32,54,122,22,203,799,7,751,66,8,173,0,0,331,83,508,3194
Rajasthan,Bikaner,48,60,75,81,4,138,347,0,855,11,15,89,0,0,257,0,0,1980
Rajasthan,Bundi,24,45,80,145,15,86,260,5,362,175,4,179,0,0,208,0,465,2053
Rajasthan,Chittorgarh,33,31,104,212,41,211,539,20,140,67,2,145,20,4,242,46,443,2300
Rajasthan,Churu,35,58,72,102,11,158,248,0,27,35,7,45,0,0,209,0,221,1228
Rajasthan,Dausa,40,21,37,123,10,73,1059,11,536,0,5,150,0,0,293,0,502,2860
Rajasthan,Dholpur,44,78,78,90,11,59,480,0,202,32,21,43,7,1,130,22,205,1503
Rajasthan,Dungarpur,31,17,110,143,23,67,132,2,119,108,13,154,0,0,164,14,245,1342
Rajasthan,G.R.P.Ajmer,5,8,3,14,10,0,1118,1,7,1,1,5,1,1,0,2,3,1180
Rajasthan,G.R.P.Jodhpur,6,1,1,2,0,0,143,0,0,0,0,7,2,0,0,0,0,162
Rajasthan,Ganganagar,43,90,180,149,12,180,422,0,544,13,17,147,31,3,223,2,139,2195
Rajasthan,Hanumangarh,67,77,135,79,12,133,284,0,621,66,11,124,0,0,178,0,181,1968
Rajasthan,Jaipur East,35,35,73,181,118,443,3168,53,1146,0,8,165,35,31,221,0,691,6403
Rajasthan,Jaipur North,16,24,42,148,37,124,799,4,971,2,4,75,0,0,102,0,270,2618
Rajasthan,Jaipur Rural,63,22,80,170,37,194,766,9,892,6,13,183,58,0,427,1,835,3756
Rajasthan,Jaipur South,21,13,56,134,116,273,1735,6,1072,1,8,97,10,2,180,0,479,4203
Rajasthan,Jaipur West,36,35,92,190,85,389,1369,3,1445,3,13,118,7,1,299,13,805,4903
Rajasthan,Jaisalmer,12,20,10,18,12,74,166,15,21,5,5,94,0,0,75,0,74,601
Rajasthan,Jalore,44,19,43,78,11,129,263,8,258,6,9,104,0,0,157,0,153,1282
Rajasthan,Jhalawar,49,74,138,181,24,143,473,40,223,90,11,296,26,3,146,26,374,2317
Rajasthan,Jhunjhunu,38,31,79,106,15,203,494,16,662,30,12,53,0,0,274,0,393,2406
Rajasthan,Jodhpur East,20,57,25,45,47,130,456,3,310,4,2,97,9,1,101,0,189,1496
Rajasthan,Jodhpur West,28,51,46,57,17,109,305,0,101,15,0,117,0,0,263,0,0,1109
Rajasthan,Jodhpur Rural,21,29,43,63,73,167,537,0,227,6,6,115,14,14,154,2,128,1599
Rajasthan,Karauli,34,30,49,130,16,45,702,2,233,0,14,104,0,0,84,0,194,1637
Rajasthan,Kota City,19,93,100,187,27,135,890,0,917,28,3,102,30,5,119,21,649,3325
Rajasthan,Kota Rural,19,14,60,87,13,65,157,0,271,111,2,186,0,0,104,0,209,1298
Rajasthan,Nagaur,69,85,102,133,14,208,472,0,166,9,8,94,0,0,327,0,272,1959
Rajasthan,Pali,52,44,107,161,45,272,420,0,635,27,21,341,284,5,310,0,56,2780
Rajasthan,Praapgarh,39,29,202,154,12,66,133,18,212,33,12,305,64,1,77,5,164,1526
Rajasthan,Rajsamand,17,7,48,89,24,108,206,8,315,32,6,81,3,3,177,9,338,1471
Rajasthan,Sawai Madhopur,23,38,70,114,15,47,635,0,325,0,0,96,0,0,109,3,253,1728
Rajasthan,Sikar,65,36,79,202,17,220,876,14,1243,4,14,60,0,0,387,0,570,3787
Rajasthan,Sirohi,41,44,51,66,11,56,126,6,279,67,4,78,2,0,194,1,222,1248
Rajasthan,Tonk,30,21,52,77,7,114,371,69,376,96,5,129,0,0,242,0,0,1589
Rajasthan,Udaipur,90,126,229,378,124,367,865,106,1063,59,8,479,14,7,449,62,1051,5477
Rajasthan,Total,1637,1794,3759,5671,1301,6379,29095,468,21191,1491,408,5999,727,88,9187,428,14127,103750
Sikkim,East,7,7,16,17,12,93,60,3,26,31,0,15,4,1,23,4,90,409
Sikkim,North,0,1,2,0,0,4,13,0,1,2,0,1,1,0,5,0,14,44
Sikkim,South,2,3,15,2,1,13,42,1,4,17,0,13,6,0,14,0,40,173
Sikkim,West,3,3,14,1,0,2,10,0,2,8,0,5,3,1,5,0,18,75
Sikkim,CID,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,5
Sikkim,Total,12,14,47,20,13,112,126,4,37,58,0,34,14,2,47,4,162,706
Tamil Nadu,Ariyalur,19,34,6,16,8,21,64,30,22,4,2,23,0,0,134,0,388,771
Tamil Nadu,Chennai,161,225,65,36,72,368,1520,118,553,46,10,59,0,0,1083,56,8527,12899
Tamil Nadu,Coimbatore,43,34,7,35,104,187,361,32,113,7,0,21,0,0,659,0,1692,3295
Tamil Nadu,Coimbatore City,21,43,5,14,123,166,353,25,177,17,0,8,0,0,297,26,1315,2590
Tamil Nadu,Cuddalore,50,122,14,83,16,183,476,229,45,20,5,3,0,0,532,0,3148,4926
Tamil Nadu,Dharmapuri,43,50,11,139,31,104,282,116,51,35,2,26,0,0,358,0,1252,2500
Tamil Nadu,Dindigul,61,60,15,113,67,100,210,65,226,7,4,29,0,0,465,227,1363,3012
Tamil Nadu,Erode,53,20,0,30,44,113,298,27,89,26,0,19,0,0,521,0,1434,2674
Tamil Nadu,Kanchipuram,66,83,16,14,24,219,466,0,128,29,2,8,0,0,796,0,2460,4311
Tamil Nadu,Kanyakumari,41,108,7,17,75,195,266,0,144,8,2,3,0,0,256,100,886,2108
Tamil Nadu,Karur,20,20,1,15,16,64,135,43,35,3,1,20,0,0,308,0,717,1398
Tamil Nadu,Krishnagiri,59,55,13,73,53,174,301,141,74,28,4,34,0,0,524,0,1332,2865
Tamil Nadu,Madurai,67,180,37,200,163,324,508,175,662,251,5,79,15,0,460,0,1579,4705
Tamil Nadu,Madurai City,33,51,6,27,118,123,576,23,247,4,1,22,22,0,106,32,585,1976
Tamil Nadu,Nagapattinam,36,60,16,40,48,87,166,73,11,7,0,14,0,0,277,0,1096,1931
Tamil Nadu,Namakkal,35,37,0,27,31,65,130,44,40,20,0,48,0,0,420,0,1691,2588
Tamil Nadu,Nilgiris,7,14,6,5,3,38,44,11,11,16,0,12,0,0,58,0,231,456
Tamil Nadu,Perambalur,15,18,7,4,14,22,62,22,12,9,1,26,0,0,161,0,332,705
Tamil Nadu,Pudukottai,34,38,3,54,18,42,113,38,28,31,2,29,0,0,320,0,915,1665
Tamil Nadu,Ramnathapuram,45,84,8,37,25,129,141,63,78,15,3,12,3,0,272,1,640,1556
Tamil Nadu,Railway Chennai,3,5,1,0,20,4,343,11,3,2,0,4,0,0,2,0,1,399
Tamil Nadu,Railway Trichy,0,0,0,0,15,5,111,5,0,0,0,0,0,0,8,0,7,151
